atleta_id,clube_id,posicao_id,status_id,atleta_apelido,rodada_id,atleta_jogos,atleta_preco,atleta_variacao,atleta_min_val,media_num,atleta_pontos
40990,276,6,7,Dorival Júnior,21,20,11.09,-0.26,2.49,5.04,2.61
105909,265,5,7,Vinicius Mingotti,21,13,2.74,-1.23,0.94,2.18,0.7
109102,293,4,6,Daniel Martins,21,0,1.0,0.0,1.5,0.0,0.0
111763,263,4,6,JP Galvão,21,2,1.76,1.03,4.93,3.0,6.0
104420,293,5,6,Reinaldo,21,1,2.39,0.0,1.89,1.7,0.0
111408,264,5,6,Felipe Augusto,21,6,1.6,0.0,2.14,0.63,0.0
104640,294,4,3,Matheus Bianqui,21,14,3.32,0.11,1.7,2.2,1.7
118501,262,2,6,Zé Welinton,21,0,1.0,0.0,1.5,0.0,0.0
104424,284,1,7,Felipe Scheibig,21,0,1.0,0.0,1.5,0.0,0.0
41327,264,6,7,Vanderlei Luxemburgo,21,17,8.29,-0.03,3.21,4.78,3.58
117459,264,2,6,Léo Maná,21,2,1.68,0.01,1.21,1.15,1.1
121766,267,2,6,Paulinho Silva,21,0,1.0,0.0,1.5,0.0,0.0
