atleta_id;atleta_apelido;posicao_id;clube_id;clube_nome
116013;Igor Jesus;4;262;Flamengo
116034;Victor Hugo;4;262;Flamengo
116046;Vitor Graziani;4;282;Atlético-M
116048;Ra�;4;263;Botafogo
116065;Cuiabano;2;284;Grêmi
116137;João Moreir;2;276;São Paul
116282;Gabriel Silva;4;294;Coritiba
116432;Daniel Junior;4;283;Cruzeiro
116447;Hércule;4;356;Fortaleza
116450;Andr�;2;265;Bahia
116461;Jamerson;2;294;Coritiba
116825;Jhonny;2;280;Bragantino
116835;Reginaldo;5;290;Goiá
117314;Thiago Borbas;5;280;Bragantino
117336;Cipriano;3;280;Bragantino
117403;Renato Marques;5;327;América-M
117459;Léo Man;2;264;Corinthians
117579;Galoppo;4;276;São Paul
117711;Pedro Caixinha;6;280;Bragantino
117818;Young;1;276;São Paul
117849;Giovane;5;264;Corinthians
117870;Estevã;4;285;Internacional
117909;Wesley;5;264;Corinthians
117934;Adamo;5;263;Botafogo
118175;Nathan Camargo;4;280;Bragantino
118238;Ronald;4;284;Grêmi
118304;Pedrinho;5;290;Goiá
118501;Zé Welinto;2;262;Flamengo
118563;Rodriguinho;4;276;São Paul
118676;Weslley Patati;5;277;Santos
118701;Kevyson;2;277;Santos
118709;Calebe;4;1371;Cuiab�
118747;Ed Carlos;4;277;Santos
118752;Mateus Carvalho;4;267;Vasco
118770;Patrick Verhon;4;265;Bahia
118774;Alexsander;2;266;Fluminense
118843;Jacob Montes;4;263;Botafogo
118844;Kaio Césa;5;294;Coritiba
120419;João Vito;3;293;Athletico-PR
121184;Erick Marcus;5;267;Vasco
121235;Simioni;4;290;Goiá
121237;Kauan;4;356;Fortaleza
121238;Wendell;5;290;Goiá
121242;Alan;4;290;Goiá
121263;Gabryel Freitas;5;1371;Cuiab�
121752;Pablo;5;1371;Cuiab�
121766;Paulinho Silva;2;267;Vasco
121779;Vitã;3;1371;Cuiab�
121792;Andr�;5;284;Grêmi
121796;Jean Pedroso;3;294;Coritiba
121821;Murillo;3;264;Corinthians
121830;Janderson;5;263;Botafogo
121984;Pedrinho Scaramussa;2;277;Santos
121985;Giovanni Manson;4;266;Fluminense
122233;Ronald Barcellos;5;284;Grêmi
122293;Thiago Dombroski;3;294;Coritiba
122300;Ryan;2;265;Bahia
122301;Kennedy;5;265;Bahia
122321;Lorran;4;262;Flamengo
