atleta_id,clube_id,posicao_id,status_id,atleta_apelido,rodada_id,atleta_jogos,atleta_preco,atleta_variacao,atleta_min_val,media_num,atleta_pontos
78077,293,2,6,Madson,19,14,6.11,0.0,1.47,3.12,0.0
70984,267,4,6,Payet,19,0,13.0,0.0,,0.0,0.0
50347,282,5,6,Alan Kardec,19,5,4.36,0.0,-5.73,1.76,0.0
52253,282,3,6,Réver,19,3,4.49,-0.03,4.17,4.9,5.0
74187,277,4,6,Rincón,19,0,7.0,0.0,,0.0,0.0
85465,293,4,6,Alex Santana,19,9,4.54,0.0,1.05,2.38,0.0
68727,277,2,7,Dodô,19,6,3.51,-0.73,0.39,2.15,0.0
70360,280,5,6,Eduardo Sasha,19,18,11.09,0.0,1.96,5.21,0.0
82463,282,4,7,Otávio,19,9,3.86,-0.1,1.0,2.11,0.8
98909,293,5,6,Cuello,19,13,4.65,0.0,4.65,2.66,0.0
102310,293,3,6,Matheus Felipe,19,5,2.53,0.0,1.93,1.7,0.0
104502,293,4,5,Christian,19,14,10.5,0.0,8.25,4.7,0.0
84263,282,3,7,Jemerson,19,17,8.28,0.05,4.01,3.21,4.7
106950,293,2,5,Fernando,19,6,4.73,0.0,2.69,5.27,0.0
107179,264,1,6,Matheus Donelli,19,0,2.0,0.0,1.61,0.0,0.0
107197,293,5,6,Rômulo,19,5,1.58,0.0,0.03,0.42,0.0
87228,282,2,7,Guilherme Arana,19,9,10.4,-0.49,6.72,3.75,8.3
87853,282,3,7,Mauricio Lemos,19,12,10.45,0.6,6.21,4.31,7.6
91908,282,5,3,Pavón,19,17,9.16,-0.75,2.98,5.48,3.3
96652,262,4,6,Allan,19,5,7.95,1.37,6.84,3.28,8.5
96725,282,2,7,Saravia,19,12,7.51,0.0,6.76,3.7,0.0
98706,282,4,6,Pedrinho,19,4,3.85,0.0,1.49,0.65,0.0
63289,282,4,6,Edenílson,19,16,4.75,-0.1,0.19,1.87,-0.3
100079,282,4,5,Zaracho,19,13,6.85,0.0,2.33,3.53,0.0
100084,282,4,7,Igor Gomes,19,13,5.07,0.41,2.0,2.04,2.1
101314,265,5,7,Ademir,19,16,6.6,0.16,4.4,3.47,5.2
104085,282,3,6,Bruno Fuchs,19,7,4.33,0.0,0.42,2.53,0.0
104383,282,1,6,Matheus Mendes,19,1,3.42,0.0,2.77,7.0,0.0
69102,282,5,2,Vargas,19,11,3.95,0.0,-0.03,1.24,0.0
123360,265,4,7,Cauly,19,18,6.91,-2.18,1.83,3.71,1.8
69051,265,1,6,Danilo Fernandes,19,1,4.64,0.0,2.9,7.0,0.0
85931,282,4,5,Hyoran,19,12,5.52,0.0,1.1,3.3,0.0
90449,265,4,7,Rezende,19,16,6.47,-1.28,1.13,3.19,0.9
85004,265,1,7,Marcos Felipe,19,18,7.33,-0.12,1.99,4.01,2.0
87009,284,4,6,Nathan,19,12,4.94,0.0,2.42,2.19,0.0
98484,265,3,7,Kanu,19,16,5.76,0.29,3.33,3.11,3.8
97899,265,2,6,Matheus Bahia,19,7,4.57,0.0,3.32,3.99,0.0
89493,282,3,5,Igor Rabello,19,5,5.23,0.0,6.84,3.94,0.0
105373,265,3,6,Gabriel Xavier,19,9,4.98,0.0,6.26,4.08,0.0
87747,265,4,6,Yago Felipe,19,10,4.05,0.01,0.38,1.22,0.0
115674,282,1,6,Gabriel Delfim,19,0,2.0,0.0,1.61,0.0,0.0
61106,265,2,6,Cicinho,19,9,3.77,0.0,0.15,3.63,0.0
81121,265,4,6,Lucas Mugni,19,5,3.48,0.0,4.14,1.52,0.0
93791,266,4,6,Daniel,19,8,2.4,-0.72,0.0,1.03,-0.5
90590,265,1,6,Mateus Claus,19,1,1.95,0.0,1.45,-1.0,0.0
101201,265,5,2,Vitor Jacaré,19,10,9.97,-0.43,0.44,4.83,0.0
91664,263,3,7,Adryelson,19,18,7.19,-0.65,2.38,4.57,2.5
91772,265,3,6,David Duarte,19,8,5.2,0.0,2.13,3.6,0.0
73318,327,2,3,Daniel Borges,19,6,4.36,-0.95,-1.51,1.78,-2.5
68708,263,4,7,Eduardo,19,16,13.34,1.0,5.86,5.06,7.1
109199,263,2,6,DG,19,0,2.0,0.0,1.61,0.0,0.0
104783,265,4,2,Acevedo,19,15,5.54,0.0,5.38,2.98,0.0
102907,265,1,6,Matheus Teixeira,19,0,2.0,0.0,1.61,0.0,0.0
74061,263,1,6,Gatito Fernández,19,0,8.0,0.0,2.24,0.0,0.0
70171,263,2,5,Rafael,19,9,6.7,0.0,6.63,5.16,0.0
107796,265,4,6,Diego Rosa,19,7,2.12,0.0,1.37,1.09,0.0
79113,263,3,7,Víctor Cuesta,19,17,10.45,-0.36,2.64,6.02,2.8
93790,263,4,7,Marlon Freitas,19,18,5.34,-0.02,2.25,2.51,2.4
86686,263,4,7,Tchê Tchê,19,19,8.09,0.35,3.25,2.58,3.7
111829,265,5,5,Kayky,19,10,3.55,0.0,0.65,3.53,0.0
115537,265,3,6,Marcos Victor,19,0,4.0,0.0,1.82,0.0,0.0
116450,265,2,5,André,19,3,2.08,0.0,-2.93,0.43,0.0
87808,263,3,6,Philipe Sampaio,19,8,3.33,-0.55,-0.58,2.73,-1.3
83257,262,5,7,Gabriel,19,14,12.62,-0.04,1.91,4.64,1.9
