temporada_id;rodada_id;clube_id;partida_id;clube_nome;clube_gol_pro;clube_gol_contra;clube_ca;clube_adv_ca;clube_cv;clube_adv_cv;clube_mand
2016;35;266;2016_35_266;Fluminense;1;1;3;3;0;0;1
2016;35;263;2016_35_263;Botafogo;0;2;3;1;0;0;1
2016;35;294;2016_35_294;Coritiba;1;0;3;2;0;0;1
2016;35;292;2016_35_292;Sport;0;1;2;2;0;0;1
2016;35;327;2016_35_327;América-MG;0;1;1;0;0;0;1
2016;35;316;2016_35_316;Figueirense;1;1;3;2;0;1;1
2016;35;277;2016_35_277;Santos;3;2;3;1;0;0;1
2016;35;276;2016_35_276;São Paulo;1;1;3;2;0;0;1
2016;35;285;2016_35_285;Internacional;1;1;1;3;0;0;1
2016;35;282;2016_35_282;Atlético-MG;1;1;2;4;0;0;1
2016;36;287;2016_36_287;Vitória;4;0;4;2;0;0;1
2016;36;283;2016_36_283;Cruzeiro;2;2;3;3;1;0;1
2016;36;275;2016_36_275;Palmeiras;1;0;0;4;0;1;1
2016;36;293;2016_36_293;Athletico-PR;2;0;0;2;0;0;1
2016;36;284;2016_36_284;Grêmio;3;0;0;2;0;0;1
2016;36;303;2016_36_303;Ponte Preta;1;0;3;3;0;1;1
2016;36;262;2016_36_262;Flamengo;2;2;1;2;0;0;1
2016;36;315;2016_36_315;Chapecoense;2;0;1;1;0;0;1
2016;36;344;2016_36_344;Santa Cruz;3;3;3;0;1;1;1
2016;36;264;2016_36_264;Corinthians;1;0;2;2;0;0;1
2016;37;327;2016_37_327;América-MG;2;2;1;3;1;0;1
2016;37;263;2016_37_263;Botafogo;1;1;5;4;0;1;1
2016;37;264;2016_37_264;Corinthians;0;0;3;2;0;0;1
2016;37;282;2016_37_282;Atlético-MG;1;2;1;6;0;0;1
2016;37;275;2016_37_275;Palmeiras;1;0;1;2;0;0;1
2016;37;262;2016_37_262;Flamengo;2;0;1;0;0;0;1
2016;37;285;2016_37_285;Internacional;1;0;3;4;0;0;1
2016;37;316;2016_37_316;Figueirense;1;0;3;3;0;0;1
2016;37;344;2016_37_344;Santa Cruz;5;1;3;4;0;0;1
2016;37;294;2016_37_294;Coritiba;0;1;5;6;0;0;1
2016;38;277;2016_38_277;Santos;1;0;0;1;0;0;1
