temporada_id;rodada_id;clube_mand_id;partida_id;clube_mand;clube_gol_pro;clube_gol_contra;clube_ca;clube_adv_ca;clube_cv;clube_adv_cv;clube_mand
2015;20;290;2015_20_290;Goiás;3;0;3;3;0;2;1
2015;20;277;2015_20_277;Santos;5;2;1;3;0;0;1
2015;20;316;2015_20_316;Figueirense;2;1;1;3;0;0;1
2015;20;294;2015_20_294;Coritiba;1;0;3;3;0;0;1
2015;20;303;2015_20_303;Ponte Preta;0;0;1;1;0;0;1
2015;20;317;2015_20_317;Joinville;2;1;3;2;0;0;1
2015;20;285;2015_20_285;Internacional;2;0;1;3;0;0;1
2015;20;264;2015_20_264;Corinthians;3;0;2;1;0;0;1
2015;20;262;2015_20_262;Flamengo;2;1;4;2;0;0;1
2015;20;282;2015_20_282;Atlético-MG;2;1;1;3;0;0;1
2015;21;267;2015_21_267;Vasco;0;1;2;4;0;0;1
2015;21;276;2015_21_276;São Paulo;3;0;4;0;0;0;1
2015;21;284;2015_21_284;Grêmio;0;0;5;5;0;0;1
2015;21;314;2015_21_314;Avaí;3;0;2;2;0;0;1
2015;21;275;2015_21_275;Palmeiras;3;2;0;3;0;0;1
2015;21;266;2015_21_266;Fluminense;1;2;3;4;0;0;1
2015;21;292;2015_21_292;Sport;0;1;1;5;1;0;1
2015;21;315;2015_21_315;Chapecoense;1;3;2;3;0;0;1
2015;21;283;2015_21_283;Cruzeiro;0;1;3;2;1;0;1
2015;21;293;2015_21_293;Athletico-PR;3;0;1;3;0;0;1
2015;22;317;2015_22_317;Joinville;0;0;4;5;0;0;1
2015;22;303;2015_22_303;Ponte Preta;1;2;2;5;1;0;1
2015;22;285;2015_22_285;Internacional;6;0;3;1;0;0;1
2015;22;262;2015_22_262;Flamengo;3;0;1;4;0;0;1
2015;22;282;2015_22_282;Atlético-MG;0;1;5;4;1;0;1
2015;22;294;2015_22_294;Coritiba;0;0;2;2;0;0;1
2015;22;264;2015_22_264;Corinthians;2;0;0;3;0;0;1
2015;22;290;2015_22_290;Goiás;1;0;3;3;0;0;1
2015;22;277;2015_22_277;Santos;3;1;0;1;0;0;1
2015;22;316;2015_22_316;Figueirense;0;2;4;4;0;0;1
2015;23;276;2015_23_276;São Paulo;2;0;0;0;0;0;1
2015;23;267;2015_23_267;Vasco;1;2;3;2;1;0;1
2015;23;293;2015_23_293;Athletico-PR;0;0;4;3;1;3;1
2015;23;283;2015_23_283;Cruzeiro;5;1;0;4;0;0;1
2015;23;315;2015_23_315;Chapecoense;0;0;1;2;0;0;1
2015;23;284;2015_23_284;Grêmio;2;1;3;4;0;1;1
2015;23;275;2015_23_275;Palmeiras;3;3;6;3;0;0;1
2015;23;314;2015_23_314;Avaí;0;2;2;4;0;0;1
2015;23;266;2015_23_266;Fluminense;1;3;6;6;0;1;1
2015;23;292;2015_23_292;Sport;1;1;1;0;0;0;1
2015;24;303;2015_24_303;Ponte Preta;0;1;3;1;1;0;1
2015;24;282;2015_24_282;Atlético-MG;2;0;3;3;0;0;1
2015;24;285;2015_24_285;Internacional;1;0;5;3;1;1;1
2015;24;316;2015_24_316;Figueirense;1;1;2;2;0;0;1
2015;24;294;2015_24_294;Coritiba;1;1;1;4;0;0;1
2015;24;277;2015_24_277;Santos;3;0;1;1;0;0;1
2015;24;264;2015_24_264;Corinthians;1;1;0;3;0;0;1
2015;24;290;2015_24_290;Goiás;1;0;3;1;0;0;1
2015;24;317;2015_24_317;Joinville;0;0;4;2;0;0;1
2015;24;262;2015_24_262;Flamengo;2;0;3;3;0;0;1
2015;25;294;2015_25_294;Coritiba;0;1;4;7;0;0;1
2015;25;275;2015_25_275;Palmeiras;2;0;4;4;0;1;1
2015;25;303;2015_25_303;Ponte Preta;3;1;5;2;0;0;1
2015;25;264;2015_25_264;Corinthians;3;0;0;1;0;0;1
2015;25;283;2015_25_283;Cruzeiro;1;1;3;5;1;0;1
2015;25;284;2015_25_284;Grêmio;1;2;3;3;0;0;1
2015;25;315;2015_25_315;Chapecoense;1;3;2;1;0;0;1
2015;25;267;2015_25_267;Vasco;2;0;2;2;0;0;1
2015;25;314;2015_25_314;Avaí;2;1;2;2;0;0;1
2015;25;292;2015_25_292;Sport;1;0;2;3;0;0;1
2015;26;317;2015_26_317;Joinville;1;1;4;3;0;0;1
2015;26;266;2015_26_266;Fluminense;1;4;1;3;0;0;1
2015;26;290;2015_26_290;Goiás;1;2;2;5;0;0;1
2015;26;316;2015_26_316;Figueirense;0;1;2;4;0;0;1
2015;26;293;2015_26_293;Athletico-PR;1;2;1;2;0;0;1
2015;26;277;2015_26_277;Santos;4;0;1;1;0;0;1
2015;26;285;2015_26_285;Internacional;2;1;2;1;0;0;1
2015;26;283;2015_26_283;Cruzeiro;2;2;4;3;0;1;1
2015;26;276;2015_26_276;São Paulo;0;0;2;2;0;0;1
2015;26;262;2015_26_262;Flamengo;0;2;2;3;0;0;1
2015;27;275;2015_27_275;Palmeiras;3;2;2;4;0;0;1
2015;27;285;2015_27_285;Internacional;1;1;1;5;0;0;1
2015;27;303;2015_27_303;Ponte Preta;3;1;3;4;0;0;1
2015;27;290;2015_27_290;Goiás;3;0;0;1;0;0;1
2015;27;264;2015_27_264;Corinthians;2;0;2;5;0;2;1
2015;27;267;2015_27_267;Vasco;2;1;2;2;0;0;1
2015;27;282;2015_27_282;Atlético-MG;4;1;2;2;0;0;1
2015;27;314;2015_27_314;Avaí;2;1;3;4;0;0;1
2015;27;315;2015_27_315;Chapecoense;0;2;2;1;0;1;1
2015;27;294;2015_27_294;Coritiba;2;0;7;3;1;0;1
2015;28;266;2015_28_266;Fluminense;2;0;4;3;0;0;1
2015;28;284;2015_28_284;Grêmio;3;1;1;3;0;0;1
2015;28;293;2015_28_293;Athletico-PR;1;2;2;4;0;0;1
2015;28;277;2015_28_277;Santos;3;1;1;4;0;0;1
2015;28;262;2015_28_262;Flamengo;1;2;5;6;0;0;1
2015;28;317;2015_28_317;Joinville;2;2;2;2;0;0;1
2015;28;316;2015_28_316;Figueirense;1;3;3;3;0;0;1
2015;28;276;2015_28_276;São Paulo;1;1;1;2;0;0;1
2015;28;292;2015_28_292;Sport;3;0;3;0;0;0;1
2015;28;283;2015_28_283;Cruzeiro;2;0;0;1;1;1;1
2015;29;285;2015_29_285;Internacional;2;1;2;2;0;1;1
2015;29;294;2015_29_294;Coritiba;0;3;1;2;0;0;1
2015;29;276;2015_29_276;São Paulo;1;0;1;3;0;0;1
2015;29;314;2015_29_314;Avaí;1;1;4;6;1;2;1
2015;29;262;2015_29_262;Flamengo;2;0;2;3;0;0;1
2015;29;277;2015_29_277;Santos;3;1;3;2;0;0;1
2015;29;283;2015_29_283;Cruzeiro;0;0;3;3;0;0;1
2015;29;290;2015_29_290;Goiás;2;3;1;5;0;1;1
2015;29;303;2015_29_303;Ponte Preta;2;2;2;4;1;0;1
2015;29;315;2015_29_315;Chapecoense;5;1;0;5;0;0;1
2015;30;282;2015_30_282;Atlético-MG;2;1;2;3;0;0;1
2015;30;292;2015_30_292;Sport;3;0;2;5;0;0;1
2015;30;317;2015_30_317;Joinville;3;1;6;1;0;0;1
2015;30;316;2015_30_316;Figueirense;3;0;1;1;0;0;1
2015;30;275;2015_30_275;Palmeiras;0;1;2;3;0;0;1
2015;30;266;2015_30_266;Fluminense;2;0;0;4;0;0;1
2015;30;293;2015_30_293;Athletico-PR;2;2;5;2;0;0;1
2015;30;267;2015_30_267;Vasco;1;1;4;5;0;0;1
2015;30;264;2015_30_264;Corinthians;3;0;1;5;0;0;1
2015;30;284;2015_30_284;Grêmio;1;0;3;3;0;1;1
2015;31;314;2015_31_314;Avaí;1;3;3;4;0;0;1
2015;31;317;2015_31_317;Joinville;1;0;2;3;1;0;1
2015;31;303;2015_31_303;Ponte Preta;3;0;3;3;0;0;1
2015;31;283;2015_31_283;Cruzeiro;2;0;2;1;0;0;1
2015;31;293;2015_31_293;Athletico-PR;1;4;2;1;0;0;1
2015;31;262;2015_31_262;Flamengo;0;1;0;2;0;0;1
2015;31;276;2015_31_276;São Paulo;2;2;2;1;1;0;1
2015;31;284;2015_31_284;Grêmio;2;3;3;2;0;1;1
2015;31;277;2015_31_277;Santos;3;1;0;1;0;0;1
2015;31;292;2015_31_292;Sport;4;1;0;1;0;1;1
2015;32;266;2015_32_266;Fluminense;0;1;1;3;0;0;1
2015;32;285;2015_32_285;Internacional;1;0;1;2;0;0;1
2015;32;316;2015_32_316;Figueirense;0;0;5;2;0;0;1
2015;32;275;2015_32_275;Palmeiras;0;2;2;1;0;0;1
2015;32;264;2015_32_264;Corinthians;1;0;3;2;0;1;1
2015;32;294;2015_32_294;Coritiba;1;2;4;3;1;0;1
2015;32;315;2015_32_315;Chapecoense;0;0;1;2;0;0;1
2015;32;267;2015_32_267;Vasco;0;0;1;2;0;0;1
2015;32;290;2015_32_290;Goiás;0;1;4;4;0;0;1
2015;32;282;2015_32_282;Atlético-MG;2;1;2;1;0;0;1
2015;33;276;2015_33_276;São Paulo;3;0;1;2;0;0;1
2015;33;314;2015_33_314;Avaí;1;1;3;3;0;0;1
2015;33;303;2015_33_303;Ponte Preta;1;0;3;5;0;0;1
2015;33;294;2015_33_294;Coritiba;1;1;2;5;0;0;1
2015;33;315;2015_33_315;Chapecoense;0;0;3;4;0;1;1
2015;33;277;2015_33_277;Santos;2;1;3;3;0;1;1
2015;33;284;2015_33_284;Grêmio;2;0;0;1;0;1;1
2015;33;282;2015_33_282;Atlético-MG;0;3;1;0;0;0;1
2015;33;267;2015_33_267;Vasco;0;1;2;5;0;1;1
2015;33;290;2015_33_290;Goiás;2;1;3;3;0;0;1
2015;34;285;2015_34_285;Internacional;1;0;2;4;0;0;1
2015;34;264;2015_34_264;Corinthians;2;1;0;3;0;0;1
2015;34;293;2015_34_293;Athletico-PR;2;1;1;2;0;0;1
2015;34;266;2015_34_266;Fluminense;2;3;3;3;0;0;1
2015;34;275;2015_34_275;Palmeiras;0;2;1;4;0;0;1
2015;34;262;2015_34_262;Flamengo;4;1;1;0;0;0;1
2015;34;283;2015_34_283;Cruzeiro;2;1;1;2;0;0;1
2015;34;316;2015_34_316;Figueirense;0;1;2;4;0;0;1
2015;34;317;2015_34_317;Joinville;0;0;3;2;1;0;1
2015;34;292;2015_34_292;Sport;1;0;2;3;0;1;1
2015;35;283;2015_35_283;Cruzeiro;3;0;2;4;0;0;1
2015;35;290;2015_35_290;Goiás;1;3;1;1;0;0;1
2015;35;303;2015_35_303;Ponte Preta;0;1;4;4;0;0;1
2015;35;314;2015_35_314;Avaí;2;1;4;1;0;0;1
2015;35;293;2015_35_293;Athletico-PR;3;3;2;4;0;2;1
2015;35;284;2015_35_284;Grêmio;1;0;3;4;0;1;1
