temporada_id;rodada_id;rodada_id;clube_id;clube_nome;clube_vis;clube_mand_gol;clube_vis_gol;clube_mand_ca;clube_vis_ca;clube_mand_cv;clube_vis_cv
2018;32;2018_32_266;266;Fluminense;0;1;2;3;1;0;1
2018;32;2018_32_282;282;Atlético-MG;0;1;4;1;0;0;1
2018;32;2018_32_275;275;Palmeiras;3;2;3;5;0;1;1
2018;32;2018_32_327;327;América-MG;1;2;3;1;0;0;1
2018;32;2018_32_383;383;Paraná;1;1;3;4;0;1;1
2018;32;2018_32_276;276;São Paulo;2;2;2;1;0;0;1
2018;32;2018_32_263;263;Botafogo;1;0;1;2;0;0;1
2018;32;2018_32_285;285;Internacional;2;1;2;3;0;0;1
2018;32;2018_32_265;265;Bahia;1;0;1;1;0;0;1
2018;32;2018_32_292;292;Sport;1;0;3;3;0;0;1
2018;33;2018_33_327;327;América-MG;0;1;3;1;1;1;1
2018;33;2018_33_264;264;Corinthians;1;1;1;3;1;0;1
2018;33;2018_33_263;263;Botafogo;2;1;4;6;0;0;1
2018;33;2018_33_293;293;Athletico-PR;2;0;4;7;0;0;1
2018;33;2018_33_287;287;Vitória;2;2;3;4;0;0;1
2018;33;2018_33_366;366;Ceará;1;1;2;5;0;0;1
2018;33;2018_33_282;282;Atlético-MG;1;1;3;2;0;0;1
2018;33;2018_33_284;284;Grêmio;2;1;2;4;0;0;1
2018;33;2018_33_266;266;Fluminense;0;0;0;2;0;0;1
2018;33;2018_33_277;277;Santos;0;1;2;1;0;0;1
2018;34;2018_34_267;267;Vasco;1;1;1;0;0;0;1
2018;34;2018_34_265;265;Bahia;2;1;2;3;0;0;1
2018;34;2018_34_383;383;Paraná;0;1;4;3;2;0;1
2018;34;2018_34_292;292;Sport;0;0;4;4;0;0;1
2018;34;2018_34_275;275;Palmeiras;3;0;6;5;0;1;1
2018;34;2018_34_283;283;Cruzeiro;1;0;2;2;0;1;1
2018;34;2018_34_315;315;Chapecoense;0;1;1;2;0;0;1
2018;34;2018_34_262;262;Flamengo;1;0;3;5;0;0;1
2018;34;2018_34_276;276;São Paulo;1;1;1;2;0;0;1
2018;34;2018_34_285;285;Internacional;2;0;1;2;0;0;1
2018;35;2018_35_264;264;Corinthians;1;0;2;2;0;0;1
2018;35;2018_35_287;287;Vitória;1;2;3;3;1;0;1
2018;35;2018_35_282;282;Atlético-MG;1;0;3;3;1;0;1
2018;35;2018_35_383;383;Paraná;1;1;4;2;0;0;1
2018;35;2018_35_327;327;América-MG;2;1;6;1;0;0;1
2018;35;2018_35_292;292;Sport;0;1;1;1;0;1;1
2018;35;2018_35_263;263;Botafogo;1;0;2;4;0;2;1
2018;35;2018_35_276;276;São Paulo;1;0;2;2;0;0;1
