temporada_id;rodada_id;partida_id;clube_id;clube_nome;clube_gol_pro;clube_gol_contra;clube_ca;clube_adv_ca;clube_cv;clube_adv_cv;clube_mand
2022;36;2022_36_1371;1371;Cuiabá;1;1;2;0;0;0;1
2022;36;2022_36_282;282;Atlético-MG;0;2;2;5;0;0;1
2022;37;2022_37_276;276;São Paulo;0;1;4;5;0;0;1
2022;37;2022_37_294;294;Coritiba;2;2;4;5;0;1;1
2022;37;2022_37_266;266;Fluminense;3;0;3;2;0;2;1
2022;37;2022_37_314;314;Avaí;2;0;4;5;0;0;1
2022;37;2022_37_356;356;Fortaleza;6;0;1;4;0;0;1
2022;37;2022_37_286;286;Juventude;2;2;7;3;0;0;1
2022;37;2022_37_275;275;Palmeiras;2;1;4;2;0;0;1
2022;37;2022_37_373;373;Atlético-GO;1;1;1;0;0;0;1
2022;37;2022_37_263;263;Botafogo;3;0;2;4;0;1;1
2022;37;2022_37_282;282;Atlético-MG;3;0;1;4;0;0;1
2022;38;2022_38_262;262;Flamengo;1;2;0;1;0;0;1
2022;38;2022_38_293;293;Athletico-PR;3;0;1;1;0;0;1
2022;38;2022_38_366;366;Ceará;4;1;4;4;0;0;1
2022;38;2022_38_327;327;América-MG;1;1;3;2;0;1;1
2022;38;2022_38_277;277;Santos;0;2;1;3;0;0;1
2022;38;2022_38_1371;1371;Cuiabá;2;1;1;4;0;1;1
2022;38;2022_38_280;280;Bragantino;0;1;3;2;0;0;1
2022;38;2022_38_264;264;Corinthians;0;1;3;6;0;0;1
2022;38;2022_38_285;285;Internacional;3;0;2;3;0;0;1
2022;38;2022_38_290;290;Goiás;0;4;2;1;0;0;1
2022;1;2022_1_277;277;Santos;0;0;0;1;0;0;0
2022;1;2022_1_262;262;Flamengo;1;1;2;3;0;0;0
2022;1;2022_1_366;366;Ceará;3;2;9;4;1;0;0
2022;1;2022_1_290;290;Goiás;0;3;4;2;0;0;0
2022;1;2022_1_264;264;Corinthians;3;1;4;1;0;0;0
2022;1;2022_1_285;285;Internacional;0;2;4;2;0;0;0
2022;1;2022_1_1371;1371;Cuiabá;1;0;3;2;0;0;0
2022;1;2022_1_327;327;América-MG;0;1;3;3;2;0;0
2022;1;2022_1_293;293;Athletico-PR;0;4;3;1;0;0;0
2022;1;2022_1_280;280;Bragantino;2;2;5;4;0;0;0
2022;2;2022_2_275;275;Palmeiras;1;1;0;4;0;0;0
2022;2;2022_2_286;286;Juventude;1;4;0;3;1;0;0
2022;2;2022_2_314;314;Avaí;0;3;1;1;0;0;0
2022;2;2022_2_266;266;Fluminense;1;0;1;2;0;0;0
2022;2;2022_2_294;294;Coritiba;1;2;4;2;0;0;0
2022;2;2022_2_276;276;São Paulo;1;3;6;2;0;0;0
2022;2;2022_2_282;282;Atlético-MG;1;0;3;2;0;0;0
