temporada_id;rodada_id;clube_id;partida_id;atleta_id;posicao_id;status_id;atleta_preco;atleta_var;atleta_jogos;SC_G;SC_DP;SC_SG;SC_A;SC_FT;SC_FD;SC_DS;SC_PS;SC_DE;SC_V;SC_FF;SC_FS;SC_PP;SC_GC;SC_CV;SC_CA;SC_GS;SC_PC;SC_FC;SC_I;atleta_pt_acum;atleta_pt_med;clube_mand;clube_gol_pro;clube_gol_cont;clube_gol_marc;clube_gol_sof;clube_rod_pt;clube_pt;clube_saldo;clube_pos;clube_pt_5_rod;adv_gol_marc;adv_gol_sof;adv_rod_pt;adv_pt;adv_saldo;adv_pos;adv_pt_5_rod;atleta_pontos
2021;8;286;20218286;37674;4;6;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;7;9;3;12;7;8;10;7;9;3;12;7;8;10;0
2021;9;286;20219286;37674;4;6;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;7;11;0;12;7;12;10;11;11;0;12;7;12;10;0
2021;10;286;202110286;37674;4;6;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;7;12;0;12;7;13;7;18;12;0;12;7;13;7;0
2021;11;286;202111286;37674;4;6;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;8;13;1;13;8;13;7;10;13;1;13;8;13;7;0
2021;12;286;202112286;37674;4;6;3,74;-1,26;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;8;14;0;13;8;14;4;11;14;0;13;8;14;4;0
2021;13;286;202113286;37674;4;6;3,74;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;9;14;3;16;9;13;4;11;14;3;16;9;13;4;0
2021;14;286;202114286;37674;4;6;3,74;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;10;15;1;17;10;13;5;11;15;1;17;10;13;5;0
2021;15;286;202115286;37674;4;6;3,74;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;11;17;0;17;11;14;5;23;17;0;17;11;14;5;0
2021;16;286;202116286;37674;4;6;3,74;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;13;18;3;20;13;12;7;26;18;3;20;13;12;7;0
2021;17;286;202117286;37674;4;2;6,13;2,39;2;16;0;0;0;0;0;0;0;0;0;0;0,5;0;0;0;-1;0;0;-0,3;0;0;0;1;1;1;14;19;1;21;14;13;8;27;19;1;21;14;13;8;15,2
2021;18;286;202118286;37674;4;7;4,32;-1,81;3;0;0;0;0;0;0;1,2;0;0;0;0,8;0;0;0;0;0;0;0;-0,3;0;0;0;1;1;1;15;20;1;22;15;14;6;15;20;1;22;15;14;6;1,7
2021;19;286;202119286;37674;4;2;4,24;-0,08;4;0;0;0;0;0;0;1,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;16;21;1;23;16;13;6;18;21;1;23;16;13;6;1,2
2021;20;286;202120286;37674;4;7;4,58;0,34;5;0;0;0;0;0;0;3,6;0;0;0;0;0,5;0;0;0;0;0;0;0;0;0;0;1;1;2;17;23;0;23;17;14;6;21;23;0;23;17;14;6;4,1
2021;21;286;202121286;37674;4;5;4,26;-0,32;6;0;0;0;0;0;0;1,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;18;25;0;23;18;17;3;27;25;0;23;18;17;3;1,2
2021;22;286;202122286;37674;4;5;4,26;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;0;21;25;3;26;21;14;5;20;25;3;26;21;14;5;0
2021;23;286;202123286;37674;4;6;4,26;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;22;26;1;27;22;15;5;36;26;1;27;22;15;5;0
2021;24;286;202124286;37674;4;6;4,26;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;23;29;0;27;23;16;4;13;29;0;27;23;16;4;0
2021;25;286;202125286;37674;4;6;3,68;-0,58;7;0;0;0;0;0;0;0;0;0;0;0,8;0,5;0;0;0;-1;0;0;-0,3;0;0;0;1;1;1;24;30;1;28;24;16;5;24;30;1;28;24;16;5;5,55E-17
2021;26;286;202126286;37674;4;7;3,68;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;25;33;0;28;25;17;5;52;33;0;28;25;17;5;0
2021;27;286;202127286;37674;4;6;4,03;0,35;8;0;0;0;0;0;0;1,2;0;0;0;0;0,5;0;0;0;0;0;0;-0,3;0;0;0;0;2;3;27;36;0;28;27;17;2;26;36;0;28;27;17;2;1,4
2021;28;286;202128286;37674;4;5;4,03;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;27;36;1;29;27;17;2;26;36;1;29;27;17;2;0
2021;29;286;202129286;37674;4;6;4,03;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;27;36;1;30;27;17;3;32;36;1;30;27;17;3;0
2021;30;286;202130286;37674;4;6;3,7;-0,33;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,3;0;0;0;0;1;1;28;37;1;31;28;17;3;25;37;1;31;28;17;3;-0,3
2021;31;286;202131286;37674;4;6;3,7;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;30;38;3;34;30;17;6;39;38;3;34;30;17;6;0
2021;32;286;202132286;37674;4;6;3,69;-0,01;10;0;0;0;0;0;0;0;0;0;0;0,8;0;0;0;0;0;0;0;-0,3;-0,1;-0,1;-0,01;0;2;0;32;38;3;37;32;16;9;26;38;3;37;32;16;9;0,4
2021;33;286;202133286;37674;4;2;3,7;0,01;11;0;0;0;0;0;0;1,2;0;0;0;0;0;0;0;0;0;0;0;-0,3;0;-0,1;-0,01;1;1;0;33;38;3;40;33;15;11;31;38;3;40;33;15;11;0,9
2021;34;286;202134286;37674;4;6;3,7;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,1;-0,01;0;0;2;33;40;0;40;33;16;10;56;40;0;40;33;16;10;0
2021;35;286;202135286;37674;4;6;3,7;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,1;-0,01;1;1;0;34;40;3;43;34;14;12;50;40;3;43;34;14;12;0
2021;36;286;202136286;37674;4;6;3,7;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,1;-0,01;0;0;1;34;41;0;43;34;15;9;42;41;0;43;34;15;9;0
2021;37;286;202137286;37674;4;6;3,7;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,1;-0,01;0;1;3;35;44;0;43;35;17;6;31;44;0;43;35;17;6;0
2021;38;286;202138286;37674;4;6;3,7;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,1;-0,01;1;1;0;36;44;3;46;36;16;6;40;44;3;46;36;16;6;0
2021;1;356;20211356;37788;1;6;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;2;1;3;3;2;4;3;1;1;3;3;2;4;3;0
2021;2;356;20212356;37788;1;6;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;5;1;7;2;3;6;7;1;6;3;2;3;6;7;1;6;0
2021;3;356;20213356;37788;1;6;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;8;2;3;9;8;1;9;2;2;3;9;8;1;9;0
2021;4;356;20214356;37788;1;6;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;2;1;10;8;1;10;4;2;1;10;8;1;10;0
2021;5;356;20215356;37788;1;6;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;9;3;1;11;9;3;11;5;3;1;11;9;3;11;0
2021;6;356;20216356;37788;1;6;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;10;5;0;11;10;4;8;11;5;0;11;10;4;8;0
2021;7;356;20217356;37788;1;6;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;5;1;12;10;4;6;7;5;1;12;10;4;6;0
2021;8;356;20218356;37788;1;6;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;2;13;7;3;15;13;4;6;8;7;3;15;13;4;6;0
2021;9;356;20219356;37788;1;6;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;14;9;0;15;14;5;5;18;9;0;15;14;5;5;0
2021;10;356;202110356;37788;1;6;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;0;18;9;3;18;18;5;7;9;9;3;18;18;5;7;0
2021;11;356;202111356;37788;1;6;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;19;9;3;21;19;5;10;8;9;3;21;19;5;10;0
2021;12;356;202112356;37788;1;7;3,3;0,3;1;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;20;9;3;24;20;4;12;8;9;3;24;20;4;12;5
2021;13;356;202113356;37788;1;7;4,39;1,09;2;0;0;5;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;21;9;3;27;21;3;12;24;9;3;27;21;3;12;9
2021;14;356;202114356;37788;1;7;5;0,61;3;0;0;5;0;0;0;0;0;4;0;0;0,5;0;0;0;0;0;0;0;0;0;0;0;1;3;22;12;0;27;22;4;12;17;12;0;27;22;4;12;9,5
2021;15;356;202115356;37788;1;6;5;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;25;14;3;30;25;3;12;27;14;3;30;25;3;12;0
2021;16;356;202116356;37788;1;7;3,4;-1,6;4;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;-2;0;0;0;0;0;1;1;1;26;15;1;31;26;3;10;17;15;1;31;26;3;10;-1
2021;17;356;202117356;37788;1;7;3,52;0,12;5;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;1;1;27;16;1;32;27;2;8;14;16;1;32;27;2;8;0
2021;18;356;202118356;37788;1;7;3,87;0,35;6;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;-1;0;0;0;0;0;1;0;0;27;16;1;33;27;3;6;17;16;1;33;27;3;6;2
2021;19;356;202119356;37788;1;7;5,51;1,64;7;0;0;5;0;0;0;0;0;5;0;0;0,5;0;0;0;0;0;0;0;0;0;0;0;2;4;29;20;0;33;29;5;6;24;20;0;33;29;5;6;10,5
